Index,EAFE,GSCI,NAREIT,SP500,US10YR
1979-09-30,271.362,631.74,136.904,152.28,140.2773207
1979-10-31,249.76,675.53,144.0734,159.52,130.5296601
1979-11-30,252.921,686.56,145.164,162.93,134.4162365
1979-12-31,261.505,727.92,155.1572,173.06,135.9917917
1980-01-31,274.173,721.19,153.3487,173.05,130.6986755
1980-02-29,273.073,620.39,132.9331,156.22,120.3367969
1980-03-31,244.082,643.38,144.1936,163.45,122.1502609
1980-04-30,267.178,682.5,155.2354,171.86,137.2919311
1980-05-31,279.649,720.92,164.2438,177.3,142.8387079
1980-06-30,297.509,755.15,177.3552,189.63,145.4769913
1980-07-31,296.037,767.3,181.1793,191.55,140.8195778
1980-08-31,306.32,810.18,177.974,197.19,135.58596
1980-09-30,317.047,835.6,192.1031,201.18,134.4674099
1980-10-31,330.402,824,190.1321,222.61,131.255824
1980-11-30,323.738,762.66,185.8382,215.89,130.7180075
1980-12-31,325.389,714.2,189.318,206.86,134.2396085
1981-01-31,320.948,693.47,190.5593,210.45,133.7579852
1981-02-28,316.701,692.3,201.9993,218.87,129.7391283
1981-03-31,328.147,682.85,204.9757,214.64,133.3238303
1981-04-30,337.058,686.55,195.5973,215.19,127.8928966
1981-05-31,322.872,642.93,203.4001,213.84,133.609582
1981-06-30,325.175,672.16,204.5753,214.28,132.5515881
1981-07-31,312.035,650.09,193.8616,201.91,128.541795
1981-08-31,319.419,649.26,183.0948,191.96,125.3404507
1981-09-30,287.693,651.22,192.552,202.32,124.2889925
1981-10-31,292.477,621.87,204.8402,210.67,133.7025075
1981-11-30,325.029,587.18,201.775,205.26,146.3218468
1981-12-31,322.03,634.12,199.9741,202.59,141.3313133
1982-01-31,319.915,619.87,195.8737,191.26,141.786797
1982-02-28,299.57,642.99,196.9084,190.26,144.2824987
1982-03-31,285.041,666.17,201.8058,198.86,144.8312626
1982-04-30,303.578,667.68,199.8234,192.08,148.9323751
1982-05-31,299.643,647.59,192.4777,189.2,151.9300425
1982-06-30,277.265,661.66,200.1192,185.83,147.891535
1982-07-31,274.065,660.17,214.2506,208.39,155.6980855
1982-08-31,274.242,640.87,224.508,210.99,164.9903467
1982-09-30,272.512,637.15,249.1392,235.27,177.0806955
1982-10-31,273.676,662.58,260.9918,244.77,189.7318934
1982-11-30,295.659,655.05,265.6247,249.49,190.510627
1982-12-31,319.265,659.62,271.7101,258.77,197.2495511
1983-01-31,316.575,652.08,279.045,264.7,193.7249024
1983-02-28,325.398,696.02,302.2679,274.48,201.7915835
1983-03-31,338.103,702.84,318.2272,296.1,199.2324638
1983-04-30,357.471,706.54,318.4414,293.53,205.2900542
1983-05-31,355.788,715.59,315.5356,304.95,200.3725991
1983-06-30,363.972,740.79,311.2202,295.95,200.3792821
1983-07-31,364.884,753.78,308.8212,300.4,192.9285052
1983-08-31,359.133,733.3,315.7139,304.54,192.3837552
1983-09-30,373.162,724.35,323.6641,301.02,200.3983214
1983-10-31,372.931,724.98,328.3046,307.37,198.8252733
1983-11-30,381.876,761.53,333.2762,305.77,202.0434164
1983-12-31,397.839,769.52,337.638,304.06,201.7844612
1984-01-31,415.705,773.2,332.4006,293.36,205.5308621
1984-02-29,419.578,811.16,334.7151,298.44,203.1767188
1984-03-31,459.091,802.04,338.9434,301.27,199.6280864
1984-04-30,451.593,825.33,329.3748,284.6,198.5010502
1984-05-31,405.869,806.68,330.2104,290.78,189.1234897
